"V1","dec1"
"21391","Y"
"21393","Y"
"21397","N"
"21450","N"
"21484","Y"
"21568","Y"
"21584","N"
"21598","Y"
"21726","Y"
"21853","N"
"21858","N"
"21895","Y"
"21916","N"
"21917","Y"
"21948","N"
"21991","N"
"21992","N"
"22019","N"
"22092","Y"
"22101","N"
"22212","N"
"22250","N"
"22266","N"
"22294","N"
"22347","N"
"22407","N"
"22439","N"
"22441","Y"
"22484","N"
"22604","N"
"22617","N"
"22623","Y"
"22686","N"
"22700","N"
"22765","N"
"22781","Y"
"22797","Y"
"22842","N"
"22932","N"
"22951","N"
"22968","N"
"23044","N"
"23056","N"
"23136","N"
"23179","Y"
"23219","N"
"23231","N"
"23321","N"
"23342","Y"
"23446","N"
"23497","Y"
"23508","N"
"23578","N"
"23584","N"
"23592","Y"
"23696","N"
"23710","Y"
"23743","Y"
"23767","N"
"23802","Y"
"23868","Y"
"23876","Y"
"23943","N"
"23983","Y"
"24154","N"
"24188","N"
"24241","N"
"24254","N"
"24258","N"
"24262","N"
"24362","N"
"24378","N"
"24386","N"
"24408","N"
"24436","N"
"24483","N"
"24560","Y"
"24597","N"
"24708","Y"
"24837","N"
"24872","N"
"24994","N"
"25019","Y"
"25158","N"
"25298","N"
"25325","N"
"25450","N"
"25477","N"
"25480","N"
"25481","N"
"25510","N"
"25684","N"
"25688","Y"
"25696","N"
"25699","N"
"25755","N"
"25756","Y"
"25764","N"
"25776","N"
"25790","N"
"25879","N"
"26009","N"
"26062","Y"
"26096","N"
"26152","N"
"26159","N"
"26262","N"
"26297","N"
"26317","Y"
"26335","N"
"26380","N"
"26409","N"
"26411","N"
"26562","Y"
"26577","N"
"26580","N"
"26687","N"
"26736","Y"
"26740","N"
"26761","Y"
"27000","N"
"27032","N"
"27043","Y"
"27110","N"
"27140","N"
"27158","N"
"27166","Y"
"27204","Y"
"27251","Y"
"27327","N"
"27340","Y"
"27361","N"
"27380","N"
"27471","Y"
"27476","Y"
"27560","N"
"27573","N"
"27577","Y"
"27605","Y"
"27689","N"
"27751","N"
"27852","Y"
"27897","N"
"27916","N"
"27971","Y"
"28084","N"
"28101","Y"
"28109","N"
"28161","N"
"28168","Y"
"28173","N"
"28182","N"
"28232","N"
"28301","N"
"28318","N"
"28344","N"
"28348","Y"
"28430","N"
"28451","N"
"28463","Y"
"28465","Y"
"28521","Y"
"28571","N"
"28673","Y"
"28695","N"
"28752","N"
"28797","N"
"28951","N"
"29021","N"
"29033","N"
"29172","N"
"29187","N"
"29231","N"
"29356","N"
"29369","N"
"29461","N"
"29533","N"
"29554","N"
"29591","N"
"29601","N"
"29644","Y"
"29746","N"
"29792","Y"
"29819","Y"
"29884","N"
"29941","Y"
"29952","Y"
"29960","N"
"30055","N"
"30110","N"
"30172","N"
"30193","Y"
"30210","N"
"30247","N"
"30323","N"
"30365","N"
"30391","N"
"30466","N"
"30475","N"
"30510","N"
"30546","N"
"30573","N"
"30608","N"
"30618","Y"
"30626","N"
"30637","Y"
"30719","N"
"30732","N"
"30734","Y"
"30790","N"
"30931","N"
"30951","Y"
"31039","N"
"31068","N"
"31082","Y"
"31173","N"
"31235","N"
"31294","N"
"31301","Y"
"31426","N"
"31596","Y"
"31649","N"
"31774","N"
"31815","N"
"31849","N"
"31857","N"
"31887","Y"
"31921","N"
"31925","N"
"32061","N"
"32227","N"
"32229","N"
"32263","N"
"32316","Y"
"32354","N"
"32401","N"
"32504","N"
"32561","N"
"32564","N"
"32584","N"
"32628","N"
"32702","N"
"32708","Y"
"32714","N"
"32830","N"
"32834","N"
"32863","N"
"32893","Y"
"32911","Y"
"33026","Y"
"33037","Y"
"33083","N"
"33092","N"
"33221","N"
"33222","N"
"33243","Y"
"33260","N"
"33312","N"
"33393","N"
"33441","N"
"33542","N"
"33555","N"
"33571","N"
"33597","N"
"33727","N"
"33744","N"
"33788","Y"
"33907","N"
"34040","Y"
"34053","N"
"34076","N"
"34077","N"
"34103","N"
"34105","N"
"34208","N"
"34215","N"
"34339","N"
"34511","N"
"34556","N"
"34632","N"
"34654","Y"
"34664","N"
"34724","N"
"34758","N"
"34874","N"
"34895","N"
"34905","N"
"34950","Y"
"35067","N"
"35095","Y"
"35142","Y"
"35247","N"
"35311","N"
"35331","N"
"35377","N"
"35407","N"
"35487","N"
"35497","N"
"35512","N"
"35579","N"
"35629","Y"
"35657","N"
"35747","N"
"35752","N"
"35758","Y"
"35793","N"
"35846","N"
"35850","N"
"35874","N"
"35882","N"
"35971","N"
"35973","N"
"35993","N"
"36038","N"
"36066","N"
"36121","Y"
"36130","N"
"36170","N"
"36234","N"
"36422","N"
"36490","N"
"36491","N"
"36510","Y"
"36580","Y"
"36588","N"
"36611","N"
"36615","N"
"36645","Y"
"36739","N"
"36778","N"
"36783","N"
"36801","Y"
"36820","N"
"36863","N"
"36876","N"
"36884","Y"
"36914","Y"
"37095","N"
"37163","N"
"37215","N"
"37217","N"
"37231","Y"
"37303","Y"
"37320","Y"
"37379","Y"
"37427","N"
"37491","Y"
"37500","N"
"37510","N"
"37515","Y"
"37551","N"
"37557","N"
"37601","N"
