"","cat1","cat2","cat3","cat4","cat5","cat6","cat7","prodname","vendor","ASIN","price","weight_lb","dim1_in","dim2_in","dim3_in","rating"
"971","Automotive","Car Care","Interior Care","Vacuums",NA,NA,NA,"HOTOR Car Vacuum, Corded Car Vacuum Cleaner High Power for Quick Car Cleaning, DC 12V Portable Auto Vacuum Cleaner for Car Use Only - Orange & Black","HOTOR","B07PQQ9F7G",25.99,NA,NA,NA,NA,0.0818181818181818
"972","Automotive","Car Care","Interior Care","Vacuums",NA,NA,NA,"Car Vacuum, Portable Car Vacuum Cleaner High Power for Quick Car Cleaning, DC 12V Auto Corded Vacuum Cleaner for Car Use Only-Blue","HOTOR","B07R6CPVHP",27.97,NA,NA,NA,NA,0.0818181818181818
"973","Automotive","Lights & Lighting Accessories","Accent & Off Road Lighting","LED & Neon Lights","Neon Light Tubes",NA,NA,"Govee Interior Car Lights with Remote and Control Box, Upgraded 2-in-1 Design Interior Car LED Lights with 32 Colors, 48 LEDs Lighting Kit Sync to Music with Super Length Wires for Various Car, DC 12V","Govee","B07THTY5MJ",18.99,NA,NA,NA,NA,0.0818181818181818
"974","Automotive","Lights & Lighting Accessories","Accent & Off Road Lighting","LED & Neon Lights","Neon Light Kits",NA,NA,"Govee One-Line Interior Car Lights, RGB Multicolor Music Car LED Strip Light, Waterproof Underdash Lighting Kits with Sound Active Function and Simple Control, 4pcs 48 LED, 12V Car Charger Included","Govee","B0797SQ3NB",16.99,NA,NA,NA,NA,0.0818181818181818
"975","Automotive","Lights & Lighting Accessories","Accent & Off Road Lighting","LED & Neon Lights","Neon Light Kits",NA,NA,"Interior Car Lights, 4pcs 48 USB Car LED Strip Lights, MultiColor Music LED Interior Light Under Dash Lighting Kit with Sound Active Function and Wireless Remote Controller, DC 5V","SUNNEST","B07YY9K57H",14.99,NA,NA,NA,NA,0.0818181818181818
"976","Automotive","Lights & Lighting Accessories","Accent & Off Road Lighting","LED & Neon Lights","Neon Light Kits",NA,NA,"LETOUR Car Interior Lights, 4pcs 72 LED Car LED Strip Lights RGB Multi Color Music, Waterproof Underdash Lighting Kits with Wireless Remote Control & Music Sensor, DC 12V Car Charger Included","LETOUR","B07Q1WZCDK",23.6,NA,NA,NA,NA,0.0818181818181818
"977","Automotive","Exterior Accessories","Snow & Ice","Snow Plow Attachments & Accessories",NA,NA,NA,"AstroAI 27” Snow Brush and Detachable Deluxe Ice Scraper with Ergonomic Foam Grip for Cars (Heavy Duty ABS, PVC Brush) Gifts for Men","AstroAI","B07VGR4611",14.43,NA,NA,NA,NA,0.0818181818181818
"978","Automotive","Exterior Accessories","Snow & Ice","Ice Scrapers & Snow Brushes",NA,NA,NA,"Mallory 996-35 MAXX 35"" Snow Brush with Intergrated Ice Scraper and Foam Grip Handle (Colors may vary)","Mallory USA","B000BPEQM2",10.04,NA,NA,NA,NA,0.0818181818181818
"979","Automotive","Exterior Accessories","Snow & Ice","Ice Scrapers & Snow Brushes",NA,NA,NA,"MATCC Car Snow Brush Removal Extendable with Ice Scraper and Foam Grip Detachable Snow Mover for Car Auto SUV Truck Windshield Windows","MATCC","B07TVCSKLR",25.98,NA,NA,NA,NA,0.0818181818181818
"980","Automotive","Exterior Accessories","Snow & Ice","Ice Scrapers & Snow Brushes",NA,NA,NA,"Snow Joe SJBLZD 2-in-1 Snow Broom with 18-Inch Foam Head + Large Ice Scraper, Blue","Snow Joe","B07QFSGN1L",16.99,NA,NA,NA,NA,0.0818181818181818
"981","Automotive","Exterior Accessories","Snow & Ice","Ice Scrapers & Snow Brushes",NA,NA,NA,"Premium Ice Scraper Set (2 Pack) Heavy-duty Frost and Snow Removal for Car Windshield and Window","desired tools","B00NP61VDQ",14.99,NA,NA,NA,NA,0.0818181818181818
"982","Lights & Lighting Accessories","Lighting Assemblies & Accessories","Headlight Assemblies & Parts","Headlight Parts & Accessories","Headlight Restoration Kits",NA,NA,"3M Quick Headlight Clear Coat, Extreme UV Protection Prevents Lens Yellowing, 1 Sachet","3M","B079QL8BYK",5.3,0.1,6.8,4.9,4.4,0.0818181818181818
"983","Lights & Lighting Accessories","Lighting Assemblies & Accessories","Headlight Assemblies & Parts","Headlight Parts & Accessories","Headlight Restoration Kits",NA,NA,"SYLVANIA - Headlight Restoration Kit - 3 Easy Steps to Restore Sun Damaged Headlights With Exclusive UV Block Clear Coat, Light Output and Beam Pattern Restored, Long Lasting Protection","SYLVANIA","B00429NKWK",8.2,NA,NA,NA,NA,0.0818181818181818
"984","Lights & Lighting Accessories","Lighting Assemblies & Accessories","Headlight Assemblies & Parts","Headlight Parts & Accessories","Headlight Restoration Kits",NA,NA,"Meguiar's G17804 Keep Clear Headlight Coating, 4 oz. – Maintain the Clarity of Your Headlights","Meguiar's","B01M4RVVX6",12.69,NA,NA,NA,NA,0.0818181818181818
"985","Automotive","Car Care","Exterior Care","Car Polishes & Waxes","Waxes",NA,NA,"SHINE ARMOR Car Wax with Carnauba Wax - Liquid Spray Wax for Car - Hybrid Hydrophobic Car Polish and Car Shine Spray - Spray Wax Car Sealant & Paint Protection - Fast Auto Car Wax Spray Coating","SHINE ARMOR","B07RRCL6DG",21.68,NA,NA,NA,NA,0.0818181818181818
"986","Automotive","Car Care","Exterior Care","Car Polishes & Waxes","Waxes",NA,NA,"SHINE ARMOR Perfection Spray - Car Polish Wax Sealant - Hydrophobic Top Coat - Car Wax Spray & Sealant - Ceramic Coating Spray - Car Shine","SHINE ARMOR","B07SRD9TP4",31.65,NA,NA,NA,NA,0.0818181818181818
"987","Automotive","Car Care","Exterior Care","Car Polishes & Waxes","Waxes",NA,NA,"Meguiar's G18220 Ultimate Liquid Wax, 20 oz","Meguiar's","B06WVGZL5W",16.99,NA,NA,NA,NA,0.0818181818181818
"988","Automotive","Car Care","Exterior Care","Car Polishes & Waxes","Waxes",NA,NA,"MEGUIAR'S G3626 Ultimate Waterless Wash & Wax, 26 Fluid Ounces","Meguiar's","B006FUT0CS",9.87,NA,NA,NA,NA,0.0818181818181818
"989","Automotive","Car Care","Exterior Care","Car Polishes & Waxes","Waxes",NA,NA,"Wet or Waterless Car Wash Wax 16 oz. Aircraft Quality Wash Wax for your Car RV & Boat. Guaranteed Best Waterless Wash on the Market","Wash Wax ALL","B003TH3FXK",9.95,NA,NA,NA,NA,0.0818181818181818
"990","Automotive","Motorcycle & Powersports","Protective Gear","Riding Headwear","Balaclavas",NA,NA,"AstroAI Ski Mask Balaclava Winter Gifts for Men Women Windproof Breathable Face Mask for Cold Weather 2 Pack (Superfine Polar Fleece, Grey)","AstroAI","B07Z7JWTHL",25.99,NA,NA,NA,NA,0.0818181818181818
"991","Automotive","Motorcycle & Powersports","Protective Gear","Riding Headwear","Face Masks",NA,NA,"Tactical Neck Gaiter - Half Balaclava Style for Skiing, Snowboarding, Motorcycling & Cold Weather Winter Sports. Protect Your Nose, Mouth, Ears and Neck from the Elements","Tough Headwear","B01LE04OXI",11.95,NA,NA,NA,NA,0.0818181818181818
"992","Automotive","Motorcycle & Powersports","Protective Gear","Riding Headwear","Face Masks",NA,NA,"AXELECT Winter Balaclava Face Mask,Cover with Breathable Mesh Silicone Panel, Cold Weather Windproof Fleece Ski Mask, Motorcycle, Ski & Snowboard Winter Fit Helmet Hat for Women and Men","XELECT","B07ZWFTJCN",43.68,NA,NA,NA,NA,0.0818181818181818
"993","Automotive","Motorcycle & Powersports","Protective Gear","Riding Headwear","Face Masks",NA,NA,"Balaclava Ski Mask - Cold Weather Face Mask with Air Vents for Men & Women - Fleece Hood Snow Gear for Skiing, Snowboarding, Motorcycle Riding & Winter Sports. Ultimate Protection from The Elements.","Tough Headwear","B07612JXSM",9.95,NA,NA,NA,NA,0.0818181818181818
"994","Automotive","Motorcycle & Powersports","Protective Gear","Riding Headwear","Face Masks",NA,NA,"Balaclava Ski Mask - Cold Weather Face Mask for Men & Women - Snow Gear for Skiing, Snowboarding & Motorcycle Riding","IGNITEX","B07HNGDG7D",6.95,NA,NA,NA,NA,0.0818181818181818
